name,version,psnr_7k,ssim_7k,lpips_7k,numGS_7k,psnr_30k,ssim_30k,lpips_30k,numGS_30k,mem_30k,ellipse_30k
results_oldColmap_v0,0,5.860597610473633,0.04685848578810692,0.9428280591964722,210616,5.836418151855469,0.037108659744262695,0.9468409419059753,302521,0.49556779861450195,1030.940960407257
results_NewColmap_v1,1,22.687917709350586,0.7469310760498047,0.18900716304779053,459398,21.480674743652344,0.6989196538925171,0.2287517637014389,577783,0.8781599998474121,1199.8848323822021
results_NewLoss_v2,2,19.781660079956055,0.7008464336395264,0.27760612964630127,111169,21.830595016479492,0.7128740549087524,0.2424641102552414,136853,0.3686490058898926,445.2008743286133
results_NewGradientScale_v3,3,20.59381103515625,0.7097217440605164,0.26572173833847046,100894,22.783763885498047,0.7319577932357788,0.23292037844657898,116557,0.36310529708862305,430.6965112686157
results_NewDensify_v4,4,20.79568862915039,0.7129930853843689,0.2531755566596985,120830,22.5087947845459,0.7267951369285583,0.2286340892314911,141028,0.37471723556518555,456.3430371284485
results_NewDensifyAndPrune_v5,5,21.21790313720703,0.7186457514762878,0.24759763479232788,123488,22.478925704956055,0.7262594699859619,0.22824697196483612,142530,0.37853336334228516,456.5907533168793
results_NewRendering_v6,6,19.641643524169922,0.6549714803695679,0.3129759430885315,154546,19.91676139831543,0.6490110158920288,0.302642822265625,185281,0.410275936126709,594.8349804878235
results_FixedDensifyAndPrune_v7,7,21.524993896484375,0.7166438102722168,0.2549256682395935,118697,22.935386657714844,0.734942615032196,0.23002979159355164,141395,0.3834829330444336,593.6197686195374
